parent_name,relation,idFrame,idEntity,name
Transition_to_state,,1397,24045,Progression
Intentionally_act,,1398,24046,Prohibiting_or_licensing
Activity,,559,3744,Project
Communication,,710,3895,Proper_reference
Eventive_affecting,,743,3928,Protecting
Comunication,,1065,4250,Protest
Social_entity,,724,3909,Public_services
State_of_entity,,417,3602,Purpose
Comunication,,34,3219,Questioning
State_of_entity,,631,3816,Rank
State_of_entity,,682,3867,Ranked_expectation
Comunication,,624,3809,Ratification
Mental_activity,,1180,4365,Reading_activity
Intentionally_act,,418,3603,Reason
Comunication,,282,3467,Reasoning
Intentionally_act,,1062,4247,Rebellion
Entity_relation,,5,3190,Reciprocality
Intentionall_act,,679,3864,Redirecting
Information,,861,4046,Reference_text
Comunication,,596,3781,Referring_by_name
Intentionally_act,,701,3886,Reforming_a_system
Mental_activity,,642,3827,Regard
Representing,,1022,4207,Relational_quantity
State_of_entity,,477,3662,Reliance
Mental_activity,,478,3663,Reliance_on_expectation
Subjective_state,,506,3691,Religious_belief
Eventive_affect,,514,3699,Remainder
Mental_activity,,591,3776,Remembering_experience
Mental_activity,,589,3774,Remembering_information
Mental_activity,,590,3775,Remembering_to_do
Communication,,593,3778,Renunciation
Intentionally_act,,1013,4198,Repayment
Communication,,405,3590,Reporting
Communication,,35,3220,Request
Intentionally_act,,1121,4306,Reserving
Being_located,,100,3285,Residence
Communication,,739,3924,Respond_to_proposal
State_of_entity,,1102,4287,Responsibility
State_of_entity,,645,3830,Resurrection
Cause_change,,1063,4248,Revolution
Social_entity,,275,3460,Rite
Intentionally_act,,1130,4315,Sacrificing_for
State_of_entity,,977,4162,Satisfying
Mental_activity,,25,3210,Scrutiny
Subjective_state,,547,3732,Secrecy_status
Cause_motion,,219,3404,Sending
Cause_motion,,728,3913,Sent_items
Entity_relation,,1541,1556887,Service_client_supplier_interaction
State_of_entity,,1039,4224,Serving_in_capacity
Stative_configuration,,734,3919,Set_of_interrelated_entities
Social_entity,,421,3606,Severity_of_offense
Entity_relation,,1201,4386,Sex
Representing,,397,3582,Sign
Representing,,597,3782,Simple_name
Communication,,598,3783,Simple_naming
Mental_activity,,268,3453,Sleep_wake_cycle
Event,,114,3299,Social_event
Status_of_entity,,327,3512,Sole_instance
Perception,,470,3655,Sounds
Phenomenon,,471,3656,Sound_movement
Communication,,426,3611,Speak_on_topic
State_of_entity,,1110,4295,Specific_individual
Communication,,526,3711,Spelling_and_pronouncing
Artifact,,1327,17831,Sports_equipment
Time_relation,,1324,17828,Sports_temporal_subdivision
State_of_entity,,615,3800,Stage_of_progress
Communication,,37,3222,Statement
State_of_entity,,556,3741,State_continue
Phenomenon,,41,3226,Stimulate_emotion
Placing,,689,3874,Storing
Perception,,1003,4188,Subjective_temperature
Entity_relation,,427,3612,Subordinates_and_superiors
Communication,,752,3937,Successfully_communicate_message
Intentionally_act,,410,3595,Surrendering
Stative_configuration,,1199,4384,Surrounding
State_of_entity,,411,3596,Suspicion
Stative_location,,566,3751,Take_place_of
Mental_activity,,609,3794,Taking_sides
Time_relation,,515,3700,Temporal_pattern
Time_relation,,654,3839,Temporal_subregion
Social_entity,,680,3865,Terms_of_agreement
Intentionally_act,,790,3975,Terrorism
State_of_entity,,1044,4229,Thermodynamic_phase
Mental_activity,,1186,4371,Timetable
Emotions,,945,4130,Tolerating
Communication,,343,3528,Topic
Intentionally_act,,1255,17759,Touristic_service
Process,,1212,17716,Tourist_service_transaction
Intentionally_act,,1059,4244,Trap
Objective_influence,,1060,4245,Triggering
State_of_entity,,962,4147,Turning_out
Quality,,117,3302,Type
Communication,,555,3740,Unattributed_information
Intentionally_act,,587,3772,Undressing
Artifact,,1463,1548203,Urban_furniture
Cause_motion,,776,3961,Use_vehicle
Intentionally_act,,1030,4215,Using_resource
Process_start,,1088,4273,Vehicle_departure_initial_stage
Sequence,,881,4066,Version_sequence
State_of_entity,,692,3877,Waiting
State_of_entity,,413,3598,Want_suspect
Mental_activity,,707,3892,Waver_between_options
Artifact,,146,3331,Wearing
Phenomenon,,277,3462,Weather
Mental_activity,,744,3929,Willingness
Intentionally_act,,674,3859,Withdraw_from_participation
Entity_relation,,373,3558,Word_relations
