class_name,property_name,quantifier,cardinality,related_class
Task,is_task_defined_in,only,,Description
Task,is_task_of,only,,Role
Theory,has_component,some,,Relation
Theory,has_constituent,only,,Object
Theory,has_location,some,,Entity
Theory,has_part,only,,SocialObject
Theory,has_part,only,,Object
Theory,is_classified_by,only,,Role
Theory,is_expressed_by,some,,InformationObject
Theory,is_participant_in,some,,Event
TimeIndexedRelation,is_setting_for,some,,TimeInterval
TimeInterval,has_constituent,only,,Region
TimeInterval,has_part,only,,Region
TimeInterval,overlaps,only,,Region
TimeInterval,precedes,only,,Region
Transition,includes_event,some,,Event
Transition,includes_object,some,,Object
Transition,is_setting_for,some,,Process
Transition,is_setting_for,some,,Situation
Transition,satisfies,some,,Description
TypeCollection,has_constituent,only,,Object
TypeCollection,has_location,some,,Entity
TypeCollection,has_part,only,,Collection
TypeCollection,has_part,only,,SocialObject
TypeCollection,has_part,only,,Object
TypeCollection,is_classified_by,only,,Role
TypeCollection,is_expressed_by,some,,InformationObject
TypeCollection,is_participant_in,some,,Event
UnitOfMeasure,classifies,only,,Region
UnitOfMeasure,has_constituent,only,,Object
UnitOfMeasure,has_location,some,,Entity
UnitOfMeasure,has_part,only,,Parameter
UnitOfMeasure,has_part,only,,Concept
UnitOfMeasure,has_part,only,,SocialObject
UnitOfMeasure,has_part,only,,Object
UnitOfMeasure,is_classified_by,only,,Role
UnitOfMeasure,is_defined_in,some,,Description
UnitOfMeasure,is_expressed_by,some,,InformationObject
UnitOfMeasure,is_participant_in,some,,Event
UnitOfMeasure,parametrizes,some,,Region
Workflow,defines_role,some,,Role
Workflow,defines_task,some,,Task
Workflow,has_component,some,,Goal
Workflow,has_constituent,only,,Object
Workflow,has_location,some,,Entity
Workflow,has_part,only,,SocialObject
Workflow,has_part,only,,Object
Workflow,is_classified_by,only,,Role
Workflow,is_expressed_by,some,,InformationObject
Workflow,is_participant_in,some,,Event
WorkflowExecution,satisfies,some,,Workflow
WorkflowExecution,satisfies,some,,Description
