idLU,idLemma,idFrame,frameName,name,annotationset_count,annotation_number
693,117060,217,Competição,disputar,0,0
27820,117241,217,Competição,competir,0,0
48873,67650,233,Acompanhamento,sozinho,0,0
32177,146325,233,Acompanhamento,com,0,0
26796,117247,238,Ingestão,tomar,0,0
23908,120737,238,Ingestão,consumir,0,0
48924,120749,243,Criação_culinária,assar,0,0
24803,1239,252,Alimentos_e_bebidas,alimento,0,0
30696,1259,252,Alimentos_e_bebidas,banana,0,0
24818,1279,252,Alimentos_e_bebidas,bebida,0,0
21433,1282,252,Alimentos_e_bebidas,chimarrão,0,0
25108,1341,252,Alimentos_e_bebidas,moqueca,0,0
24936,1973,252,Alimentos_e_bebidas,caldo,0,0
25213,1981,252,Alimentos_e_bebidas,sopa,0,0
25042,9365,252,Alimentos_e_bebidas,farofa,0,0
25205,9783,252,Alimentos_e_bebidas,whisky,0,0
40630,30899,252,Alimentos_e_bebidas,presunto,0,0
41789,2138,255,Criar_intencionalmente,produtor,0,0
25979,805,278,Pessoas,"ser humano",0,0
31142,6569,278,Pessoas,vida,0,0
25972,8979,278,Pessoas,colega,0,0
25978,9000,278,Pessoas,humano,0,0
25974,9001,278,Pessoas,dama,0,0
25980,9002,278,Pessoas,"ser vivo",0,0
49183,9004,278,Pessoas,um,0,0
49184,38479,278,Pessoas,todos,0,0
46470,63356,278,Pessoas,gay,0,0
32130,1077,284,Morto_ou_vivo,mortal,0,0
11386,2132,299,Parte_interior_exterior,interior,0,0
49327,36977,314,Suficiência,suficiente,0,0
46629,6829,326,Desejabilidade,incrível,0,0
21165,7976,326,Desejabilidade,chato,0,0
11764,66284,326,Desejabilidade,popular,0,0
36390,61045,334,Movimento_direcional,caído,0,0
21062,111,337,Negócios,banco,0,0
25683,916,337,Negócios,supermercado,0,0
21072,6933,337,Negócios,"consultoria de recursos humanos",0,0
25684,9696,337,Negócios,vinícola,0,0
43723,35070,345,Dificuldade,transtorno,0,0
49587,69885,345,Dificuldade,difícil,0,0
49601,139799,349,Vetor_tempo,depois,0,0
49603,139807,349,Vetor_tempo,atrás,0,0
49602,139814,349,Vetor_tempo,antes,0,0
49644,33614,355,Substância_por_fase,sólido,0,0
46766,8665,360,Assistência,servir,0,0
49681,121019,360,Assistência,cuidar,0,0
39828,62145,361,Ser_obrigado,dever,0,0
34778,37015,374,Artes_performáticas,hip-hop,0,0
49762,64004,377,Fabricação,industrial,0,0
49850,11650,392,Cor,rosa,0,0
43023,59613,392,Cor,anil,0,0
49922,634,398,Veículo,bonde,0,0
27014,73184,403,Similaridade,diferente,0,0
27016,73388,403,Similaridade,distinto,0,0
39781,6,417,Finalidade,objetivo,0,0
25356,6643,431,Documentos,tratado,0,0
25322,8930,431,Documentos,carta,0,0
25348,9400,431,Documentos,nota,0,0
38073,31026,431,Documentos,prontuário,0,0
38143,70322,431,Documentos,"ficha de notificação",0,0
26851,117240,440,Mover-se_no_lugar,girar,0,0
26659,117272,442,Causar_mudança,transformar,0,0
50152,121048,456,Dizer,informar,0,0
50193,6639,465,Terminar_competição,vencedor,0,0
27073,116957,479,Conversar,conversar,0,0
29209,988,486,Atributos_mensuráveis,pesado,0,0
44078,90325,486,Atributos_mensuráveis,superficial,0,0
50303,59250,492,Pessoas_por_idade,adulto,0,0
25998,1962,493,Pessoas_por_origem,carioca,0,0
25994,6676,493,Pessoas_por_origem,boliviano,0,0
25991,6707,493,Pessoas_por_origem,alagoano,0,0
25993,9006,493,Pessoas_por_origem,americano,0,0
25997,9008,493,Pessoas_por_origem,californiano,0,0
26003,9012,493,Pessoas_por_origem,francesa,0,0
44090,37758,493,Pessoas_por_origem,escocês,0,0
44095,62534,495,Compreender,entender,0,0
44102,8064,498,Capacidade_ação,poder,0,0
50338,36681,498,Capacidade_ação,potencial,0,0
26641,63950,498,Capacidade_ação,incapaz,0,0
26640,71100,498,Capacidade_ação,capaz,0,0
44105,36784,500,Incremento,outro,0,0
50346,36965,500,Incremento,mais,0,0
19258,64549,504,Estética,lindo,0,0
26782,116969,509,Parada,parar,0,0
20733,414,524,Pessoas_por_vocação,médico,0,0
