idEntity1,idEntity2,idEntity3
2748009,2747568,2749752
2748012,2747569,2749767
2748012,2747570,2749767
2748059,2747572,2749753
2748037,2747577,2749791
2748007,2747573,2749767
2748051,2747578,2749760
2748009,2747574,2749752
2748012,2747575,2749767
2748012,2747576,2749767
2748059,2747579,2749753
2748037,2747583,2749791
2748007,2747580,2749767
2748009,2747581,2749752
2748012,2747582,2749767
2748059,2747584,2749753
2748012,2747585,2749740
2748037,2747590,2749791
2748007,2747586,2749767
2748009,2747587,2749752
2748012,2747588,2749767
2748012,2747589,2749767
2748059,2747591,2749753
2748037,2747597,2749791
2748007,2747593,2749767
2748051,2747598,2749760
2748009,2747594,2749752
2748012,2747595,2749767
2748012,2747596,2749767
2748059,2747599,2749753
2747985,2747592,2749776
2747988,2747607,2749788
2747988,2747600,2749788
2748007,2747601,2749767
2748046,2747608,2749747
2748051,2747609,2749760
2748009,2747602,2749752
2748012,2747606,2749767
2748012,2747603,2749767
2748012,2747604,2749767
2748012,2747605,2749767
2748059,2747610,2749753
2748027,2747611,2749752
2748072,2747613,2749806
2748029,2747612,2749752
2748037,2747618,2749791
2748007,2747614,2749767
2748051,2747619,2749760
2748009,2747615,2749752
2748012,2747616,2749767
2748012,2747617,2749767
2748059,2747620,2749753
2748037,2747624,2749791
2748007,2747621,2749767
2748009,2747622,2749752
2748012,2747623,2749767
2748059,2747625,2749753
2748037,2747631,2749791
2748007,2747627,2749767
2748051,2747632,2749760
2748009,2747628,2749752
2748012,2747629,2749767
2748012,2747630,2749767
2748059,2747633,2749753
2747985,2747626,2749776
2748037,2747638,2749791
2748007,2747634,2749767
2748009,2747635,2749752
2748012,2747636,2749767
2748012,2747637,2749767
2748059,2747639,2749753
2748037,2747644,2749791
2748007,2747640,2749767
2748047,2747645,2749783
2748009,2747641,2749752
2748012,2747642,2749767
2748012,2747643,2749767
2748059,2747646,2749753
2748007,2747647,2749788
2748083,2747650,2749788
2748012,2747648,2749788
2748068,2747649,2749780
2748085,2747651,2749788
2748037,2747656,2749791
2748007,2747652,2749767
2748009,2747653,2749752
2748012,2747654,2749767
2748012,2747655,2749767
2748059,2747657,2749753
2748037,2747662,2749791
2748007,2747658,2749767
2748009,2747659,2749752
2748012,2747660,2749767
2748012,2747661,2749767
2748059,2747663,2749753
2748037,2747668,2749791
2748007,2747664,2749767
2748009,2747665,2749752
2748012,2747666,2749767
2748012,2747667,2749767
2748059,2747669,2749753
2748037,2747674,2749791
2748007,2747670,2749767
2748051,2747675,2749760
2748009,2747671,2749752
2748009,2747676,2749752
2748012,2747672,2749767
2748012,2747673,2749767
2748059,2747677,2749753
2748037,2747683,2749791
2748006,2747678,2749757
2748007,2747679,2749767
2748051,2747684,2749760
2748009,2747680,2749752
2748012,2747681,2749767
2748012,2747682,2749767
2748059,2747685,2749753
2748090,2747686,2749783
2748090,2747687,2749783
2748007,2747688,2749753
2748012,2747689,2749753
2748013,2747690,2749767
2748022,2747691,2749806
2748037,2747699,2749791
2748006,2747694,2749757
2748007,2747695,2749767
2748051,2747700,2749760
2748009,2747696,2749752
2748012,2747697,2749767
2748012,2747698,2749767
2748059,2747701,2749753
2747994,2747692,2749791
2747995,2747693,2749802
2748007,2747702,2749787
2748012,2747703,2749787
2748064,2747705,2749752
2748018,2747704,2749788
2748007,2747706,2749788
2748083,2747708,2749788
2748012,2747707,2749788
2748085,2747709,2749788
2748037,2747714,2749791
2748007,2747710,2749767
2748051,2747715,2749760
2748009,2747711,2749752
2748012,2747712,2749767
2748012,2747713,2749767
2748059,2747716,2749753
2748037,2747723,2749791
2748007,2747719,2749767
2748051,2747724,2749760
2748009,2747720,2749752
2748012,2747721,2749767
2748012,2747722,2749767
2748059,2747725,2749753
2747994,2747717,2749774
2747995,2747718,2749802
2747988,2747726,2749767
2747988,2747733,2749767
2748007,2747727,2749767
2748046,2747734,2749747
2748051,2747735,2749760
2748009,2747728,2749752
2748012,2747729,2749767
2748012,2747730,2749767
2748012,2747731,2749767
2748012,2747732,2749767
2748059,2747736,2749753
2748090,2747737,2749747
2748037,2747743,2749791
2748007,2747739,2749767
2748051,2747744,2749760
