idFrameElement,idEntity,frameName,feName,property_name,related_class,quantifier,cardinality,match_count
14275,2747575,Norm,Parthood,has_part,Object,only,,1
14276,2747576,Norm,Parthood,has_part,Object,only,,1
14279,2747579,Norm,Participation,is_participant_in,Event,some,,1
14283,2747583,Object,Classification,is_classified_by,Role,only,,1
14280,2747580,Object,Constitution,has_constituent,Object,only,,1
14281,2747581,Object,Location,has_location,Entity,some,,1
14282,2747582,Object,Parthood,has_part,Object,only,,1
14284,2747584,Object,Participation,is_participant_in,Event,some,,1
14285,2747585,ObjectAggregate,Parthood,has_part,Collection,some,,1
14290,2747590,Organism,Classification,is_classified_by,Role,only,,1
14286,2747586,Organism,Constitution,has_constituent,Object,only,,1
14287,2747587,Organism,Location,has_location,Entity,some,,1
14288,2747588,Organism,Parthood,has_part,Object,only,,1
14289,2747589,Organism,Parthood,has_part,Object,only,,1
14291,2747591,Organism,Participation,is_participant_in,Event,some,,1
14297,2747597,Organization,Classification,is_classified_by,Role,only,,1
14293,2747593,Organization,Constitution,has_constituent,Object,only,,1
14298,2747598,Organization,Expression,is_expressed_by,InformationObject,some,,1
14294,2747594,Organization,Location,has_location,Entity,some,,1
14295,2747595,Organization,Parthood,has_part,Object,only,,1
14296,2747596,Organization,Parthood,has_part,Object,only,,1
14299,2747599,Organization,Participation,is_participant_in,Event,some,,1
14292,2747592,Organization,Proxy_agency,acts_through,PhysicalAgent,some,,1
14307,2747607,Parameter,Classification,classifies,Region,only,,1
14300,2747600,Parameter,Classification,classifies,Region,only,,1
14301,2747601,Parameter,Constitution,has_constituent,Object,only,,1
14308,2747608,Parameter,Definition,is_defined_in,Description,some,,1
14309,2747609,Parameter,Expression,is_expressed_by,InformationObject,some,,1
14302,2747602,Parameter,Location,has_location,Entity,some,,1
14306,2747606,Parameter,Parthood,has_part,Object,only,,1
14303,2747603,Parameter,Parthood,has_part,Object,only,,1
14304,2747604,Parameter,Parthood,has_part,Object,only,,1
14305,2747605,Parameter,Parthood,has_part,Object,only,,1
14310,2747610,Parameter,Participation,is_participant_in,Event,some,,1
14311,2747611,parthood,Part_inclusion,includes_part,Entity,some,,1
14313,2747613,parthood,Setting,is_setting_for,TimeInterval,some,,1
14312,2747612,parthood,Whole_inclusion,includes_whole,Entity,some,,1
14318,2747618,Pattern,Classification,is_classified_by,Role,only,,1
14314,2747614,Pattern,Constitution,has_constituent,Object,only,,1
14319,2747619,Pattern,Expression,is_expressed_by,InformationObject,some,,1
14315,2747615,Pattern,Location,has_location,Entity,some,,1
14316,2747616,Pattern,Parthood,has_part,Object,only,,1
14317,2747617,Pattern,Parthood,has_part,Object,only,,1
14320,2747620,Pattern,Participation,is_participant_in,Event,some,,1
14324,2747624,Person,Classification,is_classified_by,Role,only,,1
14321,2747621,Person,Constitution,has_constituent,Object,only,,1
14322,2747622,Person,Location,has_location,Entity,some,,1
14323,2747623,Person,Parthood,has_part,Object,only,,1
14325,2747625,Person,Participation,is_participant_in,Event,some,,1
14331,2747631,Personification,Classification,is_classified_by,Role,only,,1
14327,2747627,Personification,Constitution,has_constituent,Object,only,,1
14332,2747632,Personification,Expression,is_expressed_by,InformationObject,some,,1
14328,2747628,Personification,Location,has_location,Entity,some,,1
14329,2747629,Personification,Parthood,has_part,Object,only,,1
14330,2747630,Personification,Parthood,has_part,Object,only,,1
14333,2747633,Personification,Participation,is_participant_in,Event,some,,1
14326,2747626,Personification,Proxy_agency,acts_through,PhysicalAgent,some,,1
14338,2747638,"Physical agent",Classification,is_classified_by,Role,only,,1
14334,2747634,"Physical agent",Constitution,has_constituent,Object,only,,1
14335,2747635,"Physical agent",Location,has_location,Entity,some,,1
14336,2747636,"Physical agent",Parthood,has_part,Object,only,,1
14337,2747637,"Physical agent",Parthood,has_part,Object,only,,1
14339,2747639,"Physical agent",Participation,is_participant_in,Event,some,,1
14344,2747644,"Physical artifact",Classification,is_classified_by,Role,only,,1
14340,2747640,"Physical artifact",Constitution,has_constituent,Object,only,,1
14345,2747645,"Physical artifact",Description,is_described_by,Plan,some,,1
14341,2747641,"Physical artifact",Location,has_location,Entity,some,,1
14342,2747642,"Physical artifact",Parthood,has_part,Object,only,,1
14343,2747643,"Physical artifact",Parthood,has_part,Object,only,,1
14346,2747646,"Physical artifact",Participation,is_participant_in,Event,some,,1
14347,2747647,"Physical attribute",Constitution,has_constituent,Region,only,,1
14350,2747650,"Physical attribute",Overlap,overlaps,Region,only,,1
14348,2747648,"Physical attribute",Parthood,has_part,Region,only,,1
14349,2747649,"Physical attribute",Region,is_region_for,PhysicalObject,only,,1
14351,2747651,"Physical attribute",Sequence,precedes,Region,only,,1
14356,2747656,"Physical body",Classification,is_classified_by,Role,only,,1
14352,2747652,"Physical body",Constitution,has_constituent,Object,only,,1
14353,2747653,"Physical body",Location,has_location,Entity,some,,1
14354,2747654,"Physical body",Parthood,has_part,Object,only,,1
14355,2747655,"Physical body",Parthood,has_part,Object,only,,1
14357,2747657,"Physical body",Participation,is_participant_in,Event,some,,1
