idLU,idLemma,idFrame,frameName,name,annotationset_count,annotation_number
48104,8847,131,Parte_orientacional,esquerda,0,0
23132,8847,131,Parte_orientacional,esquerda,59,0
23140,8851,131,Parte_orientacional,direita,49,0
48105,8851,131,Parte_orientacional,direita,0,0
45852,8946,131,Parte_orientacional,direito,0,0
29094,8946,131,Parte_orientacional,direito,131,0
35764,17325,131,Parte_orientacional,cima,4,0
35765,17325,131,Parte_orientacional,cima,3,1
39358,10205,141,Medida_volume,gota,1,0
29575,10205,141,Medida_volume,gota,7,1
40320,33634,144,Acessórios_de_vestuário,sombreiro,0,1
40264,33634,144,Acessórios_de_vestuário,sombreiro,2,0
40321,33634,144,Acessórios_de_vestuário,sombreiro,0,2
40265,33634,144,Acessórios_de_vestuário,sombreiro,1,2
48219,65560,146,Trajar,nu,0,0
38766,65560,146,Trajar,nu,1,0
18591,146325,146,Trajar,com,2,0
48239,146325,146,Trajar,com,0,0
27104,9334,155,Comércio_comprar,compra,0,0
24387,9334,155,Comércio_comprar,compra,3,2
27106,116842,155,Comércio_comprar,comprar,0,0
202,116842,155,Comércio_comprar,comprar,161,0
21265,24,157,Prédios,teatro,0,0
1879,24,157,Prédios,teatro,3,0
30788,116,157,Prédios,bar,2,0
45935,116,157,Prédios,bar,0,0
25886,165,157,Prédios,casa,2,0
1886,165,157,Prédios,casa,249,37
45932,363,157,Prédios,hotel,0,0
30676,363,157,Prédios,hotel,1,0
21173,886,157,Prédios,biblioteca,0,0
1874,886,157,Prédios,biblioteca,7,1
1880,891,157,Prédios,"casa de cultura",5,0
25884,891,157,Prédios,"casa de cultura",0,0
1883,894,157,Prédios,catedral,2,2
25891,894,157,Prédios,catedral,0,0
1895,905,157,Prédios,basílica,3,0
25767,905,157,Prédios,basílica,0,0
21275,7072,157,Prédios,templo,0,0
19814,7072,157,Prédios,templo,23,61
20381,7417,157,Prédios,departamento,2,0
25905,7417,157,Prédios,departamento,0,0
23748,9169,157,Prédios,cobertura,1,1
25901,9169,157,Prédios,cobertura,0,0
23756,9173,157,Prédios,abrigo,21,1
25690,9173,157,Prédios,abrigo,0,0
24593,9176,157,Prédios,sinagoga,0,0
23761,9176,157,Prédios,sinagoga,1,0
25900,9533,157,Prédios,circo,0,0
24455,9533,157,Prédios,circo,1,0
43063,117122,162,Comércio_pagar,pagar,1,0
27113,117122,162,Comércio_pagar,pagar,2,0
33352,117122,162,Comércio_pagar,pagar,72,0
3671,117288,168,Evento,acontecer,110,1
27252,117288,168,Evento,acontecer,0,0
20667,116,169,Subpartes_de_prédios,bar,0,0
19450,116,169,Subpartes_de_prédios,bar,1,1
22518,787,169,Subpartes_de_prédios,corredor,19,20
24009,787,169,Subpartes_de_prédios,corredor,0,0
19076,873,169,Subpartes_de_prédios,piscina,3,32
19204,873,169,Subpartes_de_prédios,piscina,0,0
20665,970,169,Subpartes_de_prédios,academia,0,0
19447,970,169,Subpartes_de_prédios,academia,2,1
22504,6818,169,Subpartes_de_prédios,apartamento,5,0
20678,6818,169,Subpartes_de_prédios,apartamento,0,0
22524,8635,169,Subpartes_de_prédios,"sala de estar",2,9
24024,8635,169,Subpartes_de_prédios,"sala de estar",0,0
22525,8636,169,Subpartes_de_prédios,andar,16,0
40365,8636,169,Subpartes_de_prédios,andar,3,0
24011,8651,169,Subpartes_de_prédios,depósito,0,0
22540,8651,169,Subpartes_de_prédios,depósito,1,0
24004,8657,169,Subpartes_de_prédios,torre,0,0
22547,8657,169,Subpartes_de_prédios,torre,1,2
38163,38376,169,Subpartes_de_prédios,toilette,1,0
31989,38376,169,Subpartes_de_prédios,toilette,1,0
24099,73932,169,Subpartes_de_prédios,térreo,1,0
48368,73932,169,Subpartes_de_prédios,térreo,0,0
48383,65334,170,Massa_quantificada,muito,0,0
32960,65334,170,Massa_quantificada,muito,21,0
39599,66069,170,Massa_quantificada,pesar,3,0
41383,66069,170,Massa_quantificada,pesar,0,0
39373,66314,170,Massa_quantificada,pouco,10,0
48371,66314,170,Massa_quantificada,pouco,0,0
48389,86374,170,Massa_quantificada,nenhum,0,0
32959,86374,170,Massa_quantificada,nenhum,19,0
42452,88355,170,Massa_quantificada,qualquer,7,0
45985,88355,170,Massa_quantificada,qualquer,0,0
20831,25,171,Locais_naturais,monte,0,0
1669,25,171,Locais_naturais,monte,2,0
25729,154,171,Locais_naturais,campo,0,0
25727,154,171,Locais_naturais,campo,5,13
1666,715,171,Locais_naturais,morro,5,7
19094,715,171,Locais_naturais,morro,0,0
1667,716,171,Locais_naturais,lago,5,5
20836,716,171,Locais_naturais,lago,0,0
30683,720,171,Locais_naturais,vale,0,0
1673,720,171,Locais_naturais,vale,2,5
20814,721,171,Locais_naturais,canal,0,0
1674,721,171,Locais_naturais,canal,2,1
20842,726,171,Locais_naturais,gruta,0,0
1679,726,171,Locais_naturais,gruta,5,0
1690,736,171,Locais_naturais,bosque,5,0
25713,736,171,Locais_naturais,bosque,0,0
20832,874,171,Locais_naturais,mar,0,0
19031,874,171,Locais_naturais,mar,45,15
25412,6545,171,Locais_naturais,mundo,11,1
25720,6545,171,Locais_naturais,mundo,0,0
19009,6666,171,Locais_naturais,caudal,1,0
25714,6666,171,Locais_naturais,caudal,0,0
19065,6689,171,Locais_naturais,parque,10,20
19201,6689,171,Locais_naturais,parque,0,0
19339,6828,171,Locais_naturais,pantanal,1,0
25724,6828,171,Locais_naturais,pantanal,0,0
19344,6831,171,Locais_naturais,chapada,1,0
20838,6831,171,Locais_naturais,chapada,0,0
33772,26133,171,Locais_naturais,lava,1,0
46004,26133,171,Locais_naturais,lava,0,0
19079,76,172,Local,área,40,10
25455,76,172,Local,área,0,0
25463,956,172,Local,lugar,0,0
1959,956,172,Local,lugar,159,43
25462,957,172,Local,local,0,0
1960,957,172,Local,local,49,26
32712,2039,172,Local,terra,10,0
40422,2039,172,Local,terra,8,1
3761,2052,172,Local,região,83,6
43121,2052,172,Local,região,0,0
25464,6559,172,Local,periferia,0,0
18671,6559,172,Local,periferia,3,1
25466,6585,172,Local,planeta,0,0
18757,6585,172,Local,planeta,13,1
19346,6688,172,Local,centro,16,0
25459,6688,172,Local,centro,0,0
38470,9458,172,Local,ambiente,4,0
25454,9458,172,Local,ambiente,0,0
24231,9458,172,Local,ambiente,21,0
25456,9695,172,Local,zona,0,0
24722,9695,172,Local,zona,13,0
26287,10730,172,Local,núcleo,1,0
27911,10730,172,Local,núcleo,0,0
27402,11536,172,Local,mancha,2,0
27913,11536,172,Local,mancha,0,0
25764,73926,172,Local,urbano,9,0
25765,73926,172,Local,urbano,0,0
1612,696,173,Área_biológica,mato,1,2
19262,696,173,Área_biológica,mato,0,0
20771,2114,175,Locais_políticos,capital,0,0
34173,2114,175,Locais_políticos,capital,1,0
18987,2114,175,Locais_políticos,capital,12,1
21853,2114,175,Locais_políticos,capital,1,0
20781,6545,175,Locais_políticos,mundo,0,0
18604,6545,175,Locais_políticos,mundo,89,3
20789,6583,175,Locais_políticos,país,0,0
18753,6583,175,Locais_políticos,país,147,37
20773,6657,175,Locais_políticos,estado,2,0
18992,6657,175,Locais_políticos,estado,47,2
20772,6735,175,Locais_políticos,distrito,0,0
19169,6735,175,Locais_políticos,distrito,5,0
25741,9563,175,Locais_políticos,favela,2,0
25742,9563,175,Locais_políticos,favela,0,0
46024,64117,175,Locais_políticos,internacional,0,0
20776,64117,175,Locais_políticos,internacional,1,0
19025,65355,175,Locais_políticos,municipal,5,0
9162,65355,175,Locais_políticos,municipal,0,0
3898,2132,176,Locais_por_uso,interior,2,0
21883,2132,176,Locais_por_uso,interior,0,0
19772,7035,176,Locais_por_uso,monumento,32,6
21041,7035,176,Locais_por_uso,monumento,0,0
25738,9333,176,Locais_por_uso,chafariz,0,0
24340,9333,176,Locais_por_uso,chafariz,2,2
24902,9786,176,Locais_por_uso,meca,2,0
25760,9786,176,Locais_por_uso,meca,0,0
33375,67192,176,Locais_por_uso,rural,5,0
9190,67192,176,Locais_por_uso,rural,0,0
32168,38440,178,Agir_intencionalmente,feito,11,0
40063,38440,178,Agir_intencionalmente,feito,4,0
26838,33516,179,Relação_locativa,sobre,0,0
31352,33516,179,Relação_locativa,sobre,33,0
46080,63148,179,Relação_locativa,fora,0,0
20176,63148,179,Relação_locativa,fora,19,1
48570,66061,179,Relação_locativa,perto,0,0
20167,66061,179,Relação_locativa,perto,21,0
20144,139825,179,Relação_locativa,"ao longo de",3,0
48583,139825,179,Relação_locativa,"ao longo de",0,0
46079,139903,179,Relação_locativa,abaixo,0,0
39971,139903,179,Relação_locativa,abaixo,5,0
19083,6701,183,Vias,avenida,8,2
19203,6701,183,Vias,avenida,0,0
43511,65355,183,Vias,municipal,1,0
43519,65355,183,Vias,municipal,1,0
41401,10669,191,Vício,usuário,30,0
38802,10669,191,Vício,usuário,12,0
26208,10695,191,Vício,viciado,0,0
26240,10695,191,Vício,viciado,4,0
38845,20106,191,Vício,drogado,0,0
38846,20106,191,Vício,drogado,2,0
41402,70269,191,Vício,alcoolista,2,0
38031,70269,191,Vício,alcoolista,0,0
19328,2137,193,"Direção ",sul,1,0
22463,2137,193,"Direção ",sul,0,0
19269,6661,193,"Direção ",norte,0,0
22459,6661,193,"Direção ",norte,2,0
22460,6661,193,"Direção ",norte,1,0
32527,139830,193,"Direção ","para cima",10,0
32528,139830,193,"Direção ","para cima",5,0
39925,763,196,Números_cardinais,meio,1,0
29073,763,196,Números_cardinais,meio,10,0
18666,17339,196,Números_cardinais,cinco,35,0
29311,17339,196,Números_cardinais,cinco,0,0
40072,17339,196,Números_cardinais,cinco,2,0
48618,31397,196,Números_cardinais,quatorze,0,0
22906,31397,196,Números_cardinais,quatorze,6,0
18590,31399,196,Números_cardinais,quatro,36,0
39916,31399,196,Números_cardinais,quatro,6,0
37284,31499,196,Números_cardinais,quinze,0,0
18805,31499,196,Números_cardinais,quinze,11,0
46098,36053,196,Números_cardinais,vinte,0,0
22923,36053,196,Números_cardinais,vinte,20,0
9487,36465,196,Números_cardinais,zero,0,0
22925,36465,196,Números_cardinais,zero,3,0
3800,36843,196,Números_cardinais,dois,177,0
39238,36843,196,Números_cardinais,dois,40,3
42513,67464,196,Números_cardinais,setecentos,4,0
43697,67464,196,Números_cardinais,setecentos,2,0
43296,116656,196,Números_cardinais,"vinte e cinco",4,0
22921,116656,196,Números_cardinais,"vinte e cinco",10,0
28878,116693,196,Números_cardinais,"vinte e três",6,0
43211,116693,196,Números_cardinais,"vinte e três",4,0
28910,116707,196,Números_cardinais,"trinta e dois",0,0
43311,116707,196,Números_cardinais,"trinta e dois",2,0
34480,116808,196,Números_cardinais,"quarenta e cinco",3,0
48619,116808,196,Números_cardinais,"quarenta e cinco",0,0
43310,116817,196,Números_cardinais,"dois mil",2,0
34781,116817,196,Números_cardinais,"dois mil",16,0
43712,139880,196,Números_cardinais,realmente,1,0
43713,139880,196,Números_cardinais,realmente,1,0
43690,142534,196,Números_cardinais,"com certeza",1,0
